,delay,trial,model,direction,gap
464,0,116,DPE,X -> Y,0.11573654185952757
465,0,116,GC,Independence,0.01749296978847567
466,0,116,TE,X -> Y,0.2778757285137789
467,0,116,LZP,Independence,28.0
468,0,117,DPE,X -> Y,0.09679143178778199
469,0,117,GC,Independence,1.0058114965228732e-08
470,0,117,TE,X -> Y,0.3007351964242363
471,0,117,LZP,Independence,23.0
472,0,118,DPE,X -> Y,0.1219447878848568
473,0,118,GC,Independence,0.012667536093127707
474,0,118,TE,X -> Y,0.29616415461265694
475,0,118,LZP,Independence,21.0
476,0,119,DPE,X -> Y,0.12248255362268537
477,0,119,GC,Independence,0.0018755093715729298
478,0,119,TE,X -> Y,0.31676928464989573
479,0,119,LZP,Independence,22.0
480,0,120,DPE,X -> Y,0.12790861896001823
481,0,120,GC,Independence,4.527281984929763e-09
482,0,120,TE,X -> Y,0.3088144921144687
483,0,120,LZP,Independence,18.0
484,0,121,DPE,X -> Y,0.1031337555260432
485,0,121,GC,Independence,2.1980838702421193e-05
486,0,121,TE,X -> Y,0.30334700738018483
487,0,121,LZP,X -> Y,29.0
488,0,122,DPE,X -> Y,0.14295457352072824
489,0,122,GC,Independence,0.021895213179810136
490,0,122,TE,X -> Y,0.2718698365640512
491,0,122,LZP,Independence,24.0
492,0,123,DPE,X -> Y,0.10446540158600187
493,0,123,GC,Independence,0.0041482113126919415
494,0,123,TE,X -> Y,0.33553120359466565
495,0,123,LZP,Independence,25.0
496,0,124,DPE,X -> Y,0.11667373889746765
497,0,124,GC,Independence,1.0599347555870104e-08
498,0,124,TE,X -> Y,0.3448569705402325
499,0,124,LZP,Independence,19.0
500,0,125,DPE,X -> Y,0.12879839273137522
501,0,125,GC,Independence,0.0030091826785885105
502,0,125,TE,X -> Y,0.28165377585730555
503,0,125,LZP,Independence,27.0
504,0,126,DPE,X -> Y,0.10412788269071219
505,0,126,GC,Independence,0.003787296654070166
506,0,126,TE,X -> Y,0.28569486159687796
507,0,126,LZP,Independence,22.0
508,0,127,DPE,X -> Y,0.12835773542213244
509,0,127,GC,Independence,5.1482213208940154e-05
510,0,127,TE,X -> Y,0.29849405253552863
511,0,127,LZP,Independence,24.0
512,0,128,DPE,X -> Y,0.11064647260513868
513,0,128,GC,Independence,8.702705599892719e-08
514,0,128,TE,X -> Y,0.3157919070197636
515,0,128,LZP,Independence,21.0
516,0,129,DPE,X -> Y,0.10326802987072012
517,0,129,GC,Independence,2.768877654031347e-08
518,0,129,TE,X -> Y,0.3122669230370242
519,0,129,LZP,X -> Y,27.0
520,0,130,DPE,X -> Y,0.1842487235485083
